url,title,view,category,book_id
/slow-burn-buchanan-renard-5.html,Slow Burn (Buchanan-Renard #5),"(159,622 view)",romance,book_1_57
/killjoy-buchanan-renard-3.html,Killjoy (Buchanan-Renard #3),"(182,050 view)",romance,book_1_58
/mercy-buchanan-renard-2.html,Mercy (Buchanan-Renard #2),"(247,545 view)",romance,book_1_59
/heartbreaker-buchanan-renard-1.html,Heartbreaker (Buchanan-Renard #1),"(289,108 view)",romance,book_1_60
/his-unlikely-lover-unwanted-3.html,His Unlikely Lover (Unwanted #3),"(893,013 view)",romance,book_1_61
/a-husband-s-regret-unwanted-2.html,A Husband's Regret (Unwanted #2),"(1,894,015 view)",romance,book_1_62
/a-ruthless-proposition.html,A Ruthless Proposition,"(2,113,902 view)",romance,book_1_63
/saving-grace.html,Saving Grace,"(348,398 view)",romance,book_1_64
/the-prize.html,The Prize,"(265,896 view)",romance,book_1_65
/honor-s-splendour.html,Honor's Splendour,"(487,230 view)",romance,book_1_66
/shadow-music-highlands-lairds-3.html,Shadow Music (Highlands' Lairds #3),"(353,634 view)",romance,book_1_67
/ransom-highlands-lairds-2.html,Ransom (Highlands' Lairds #2),"(592,563 view)",romance,book_1_68
/the-secret-highlands-lairds-1.html,The Secret (Highlands' Lairds #1),"(731,630 view)",romance,book_1_69
/the-wedding-lairds-fiancees-2.html,The Wedding (Lairds' Fiancees #2),"(634,620 view)",romance,book_1_70
/archer-s-voice.html,Archer's Voice,"(192,807 view)",romance,book_1_71
/addicted.html,Addicted,"(40,408 view)",romance,book_1_72
/a-kingdom-of-dreams-westmoreland-saga-1.html,A Kingdom of Dreams (Westmoreland Saga #1),"(1,383,436 view)",romance,book_1_73
/tangled-tangled-1.html,Tangled (Tangled #1),"(319,406 view)",romance,book_1_74
/mystery-man-dream-man-1.html,Mystery Man (Dream Man #1),"(1,225,621 view)",romance,book_1_75
/a-knight-in-shining-armor-montgomery-taggart-15.html,A Knight in Shining Armor (Montgomery/Taggart #15),"(99,614 view)",romance,book_1_76
/the-bride-lairds-fiancees-1.html,The Bride (Lairds' Fiancees #1),"(973,587 view)",romance,book_1_77
/seduction-and-snacks-chocolate-lovers-1.html,Seduction and Snacks (Chocolate Lovers #1),"(431,673 view)",romance,book_1_78
/ten-tiny-breaths-ten-tiny-breaths-1.html,Ten Tiny Breaths (Ten Tiny Breaths #1),"(110,369 view)",romance,book_1_79
/the-bronze-horseman-the-bronze-horseman-1.html,The Bronze Horseman (The Bronze Horseman #1),"(103,017 view)",romance,book_1_80
/the-edge-of-never-the-edge-of-never-1.html,The Edge of Never (The Edge of Never #1),"(62,950 view)",romance,book_1_81
/born-in-fire-born-in-trilogy-1.html,Born in Fire (Born In Trilogy #1),"(87,957 view)",romance,book_1_82
/the-sea-of-tranquility.html,The Sea of Tranquility,"(30,683 view)",romance,book_1_83
/the-fiery-cross-outlander-5.html,The Fiery Cross (Outlander #5),"(454,893 view)",romance,book_1_84
/vacant.html,Vacant,"(21,482 view)",romance,book_1_85
/the-silver-linings-playbook.html,The Silver Linings Playbook,"(9,858 view)",romance,book_1_86
/the-secret-of-ella-and-micha-the-secret-1.html,The Secret of Ella and Micha (The Secret #1),"(20,192 view)",romance,book_1_87
/night-world-daughters-of-darkness-night-world-2.html,Night World : Daughters of Darkness (Night World #2),"(6,041 view)",romance,book_1_88
/night-world-huntress-night-world-7.html,Night World : Huntress (Night World #7),"(4,954 view)",romance,book_1_89
/blue-bloods-blue-bloods-1.html,Blue Bloods (Blue Bloods #1),"(15,966 view)",romance,book_1_90
/collide-collide-1.html,Collide (Collide #1),"(28,950 view)",romance,book_1_91
/losing-control-the-hunter-pact-1.html,Losing Control (The Hunter Pact #1),"(27,571 view)",romance,book_1_92
/kissing-coffins-vampire-kisses-2.html,Kissing Coffins (Vampire Kisses #2),"(7,620 view)",romance,book_1_93
/vampireville-vampire-kisses-3.html,Vampireville (Vampire Kisses #3),"(4,696 view)",romance,book_1_94
/devoured-devoured-1.html,Devoured (Devoured #1),"(52,886 view)",romance,book_1_95
/someone-to-love-someone-to-love-1.html,Someone to Love (Someone to Love #1),"(43,949 view)",romance,book_1_96
/love-bites-vampire-kisses-7.html,Love Bites (Vampire Kisses #7),"(5,908 view)",romance,book_1_97
/fate-interrupted-fate-interrupted-1.html,Fate Interrupted (Fate Interrupted #1),"(14,261 view)",romance,book_1_98
/the-long-hot-summer-the-blackstones-of-virgina-1.html,The Long Hot Summer (The Blackstones of Virgina #1),"(22,182 view)",romance,book_1_99
/the-unwanted-wife-unwanted-1.html,The Unwanted Wife (Unwanted #1),"(311,260 view)",romance,book_1_100
/shattered-the-secret-life-of-trystan-scott-4.html,Shattered (The Secret Life of Trystan Scott #4),"(16,973 view)",romance,book_1_101
/secrets-vol-2-ella-steele-secrets-2.html,Secrets Vol 2 Ella Steele (Secrets #2),"(17,742 view)",romance,book_1_102
/going-under-going-under-1.html,Going Under (Going Under #1),"(20,169 view)",romance,book_1_103
/shallow-going-under-2.html,Shallow (Going Under #2),"(16,990 view)",romance,book_1_104
/beauty-from-pain-beauty-1.html,Beauty from Pain (Beauty #1),"(114,634 view)",romance,book_1_105
/beauty-from-surrender-beauty-2.html,Beauty from Surrender (Beauty #2),"(70,048 view)",romance,book_1_106
/awaken-to-pleasure.html,Awaken To Pleasure,"(183,241 view)",romance,book_1_107
/love-s-prisoner-wyndham-werewolf-1.html,Love's Prisoner (Wyndham Werewolf #1),"(22,108 view)",romance,book_1_108
/jared-s-wolf-wyndham-werewolf-2.html,Jared's Wolf (Wyndham Werewolf #2),"(14,677 view)",romance,book_1_109
/effortless-thoughtless-2.html,Effortless (Thoughtless #2),"(10,167 view)",romance,book_1_110
/reckless-thoughtless-3.html,Reckless (Thoughtless #3),"(20,321 view)",romance,book_1_111
/collision-course.html,Collision Course,"(12,055 view)",romance,book_1_112
/thoughtless-thoughtless-1.html,Thoughtless (Thoughtless #1),"(66,352 view)",romance,book_1_113
/the-lonely-the-lonely-1.html,The Lonely (The Lonely #1),"(26,686 view)",romance,book_1_114
/lost-boy-the-lonely-2.html,Lost Boy (The Lonely #2),"(12,030 view)",romance,book_1_115
/the-long-way-home.html,The Long Way Home,"(62,549 view)",romance,book_1_116
/on-dublin-street-on-dublin-street-1.html,On Dublin Street (On Dublin Street #1),"(68,910 view)",romance,book_1_117
/until-fountain-bridge-on-dublin-street-2.html,Until Fountain Bridge (On Dublin Street #2),"(22,714 view)",romance,book_1_118
/down-london-road-on-dublin-street-2.html,Down London Road (On Dublin Street #2),"(44,696 view)",romance,book_1_119
/castle-hill-on-dublin-street-3.html,Castle Hill (On Dublin Street #3),"(14,585 view)",romance,book_1_120
/before-jamaica-lane-on-dublin-street-3.html,Before Jamaica Lane (On Dublin Street #3),"(32,094 view)",romance,book_1_121
/some-girls-are.html,Some Girls Are,"(18,816 view)",romance,book_1_122
/cracked-up-to-be.html,Cracked Up To Be,"(24,410 view)",romance,book_1_123
/fall-with-me.html,Fall With Me,"(25,770 view)",romance,book_1_124
/first-rapture-the-rapture-1.html,First Rapture (The Rapture #1),"(26,638 view)",romance,book_1_125
/board-resolution-knights-of-the-board-room-1.html,Board Resolution (Knights of the Board Room #1),"(100,438 view)",romance,book_1_126
/controlled-response-knights-of-the-board-room-2.html,Controlled Response (Knights of the Board Room #2),"(55,212 view)",romance,book_1_127
/honor-bound-knights-of-the-board-room-3.html,Honor Bound (Knights of the Board Room #3),"(34,004 view)",romance,book_1_128
/afterlife-knights-of-the-board-room-4.html,Afterlife (Knights of the Board Room #4),"(87,031 view)",romance,book_1_129
/hostile-takeover-knights-of-the-board-room-5.html,Hostile Takeover (Knights of the Board Room #5),"(146,353 view)",romance,book_1_130
/willing-sacrifice-knights-of-the-board-room-6.html,Willing Sacrifice (Knights of the Board Room #6),"(56,272 view)",romance,book_1_131
/holding-the-cards-nature-of-desire-1.html,Holding The Cards (Nature of Desire #1),"(21,463 view)",romance,book_1_132
/natural-law-nature-of-desire-2.html,Natural Law (Nature of Desire #2),"(17,128 view)",romance,book_1_133
/ice-queen-nature-of-desire-3.html,Ice Queen (Nature of Desire #3),"(11,052 view)",romance,book_1_134
/mirror-of-my-soul-nature-of-desire-4.html,Mirror of My Soul (Nature of Desire #4),"(20,457 view)",romance,book_1_135
/mistress-of-redemption-nature-of-desire-5.html,Mistress of Redemption (Nature of Desire #5),"(12,358 view)",romance,book_1_136
/rough-canvas-nature-of-desire-6.html,Rough Canvas (Nature of Desire #6),"(18,232 view)",romance,book_1_137
/branded-sanctuary-nature-of-desire-7.html,Branded Sanctuary (Nature of Desire #7),"(21,292 view)",romance,book_1_138
/sierra-falls-sierra-falls-1.html,Sierra Falls (Sierra Falls #1),"(18,732 view)",romance,book_1_139
/timber-creek-sierra-falls-2.html,Timber Creek (Sierra Falls #2),"(11,711 view)",romance,book_1_140
/first-ink-wicked-ink-chronicles-1.html,First Ink (Wicked Ink Chronicles #1),"(14,806 view)",romance,book_1_141
/shattered-ink-wicked-ink-chronicles-2.html,Shattered Ink (Wicked Ink Chronicles #2),"(10,895 view)",romance,book_1_142
/razor-s-edge-shadow-stalkers-1.html,Razor's Edge (Shadow Stalkers #1),"(15,217 view)",romance,book_1_143
/taking-the-heat-shadow-stalkers-2.html,Taking the Heat (Shadow Stalkers #2),"(14,134 view)",romance,book_1_144
/blood-and-roses-shadow-stalkers-3.html,Blood and Roses (Shadow Stalkers #3),"(9,879 view)",romance,book_1_145
/all-revved-up-dangerous-1.html,All Revved Up (Dangerous #1),"(22,093 view)",romance,book_1_146
/on-fire-shadow-stalkers-4.html,On Fire (Shadow Stalkers #4),"(16,134 view)",romance,book_1_147
/bared-to-you-crossfire-1.html,Bared to You (Crossfire #1),"(267,401 view)",romance,book_1_148
/reflected-in-you-crossfire-2.html,Reflected in You (Crossfire #2),"(113,933 view)",romance,book_1_149
/entwined-with-you-crossfire-3.html,Entwined with You (Crossfire #3),"(131,435 view)",romance,book_1_150
/masquerade.html,Masquerade,"(14,703 view)",romance,book_1_151
/in-flight-up-in-the-air-1.html,In Flight (Up in the Air #1),"(96,618 view)",romance,book_1_152
/mile-high-up-in-the-air-2.html,Mile High (Up in the Air #2),"(70,230 view)",romance,book_1_153
/grounded-up-in-the-air-3.html,Grounded (Up in the Air #3),"(65,252 view)",romance,book_1_154
/bad-things-tristan-danika-1.html,Bad Things (Tristan & Danika #1),"(37,264 view)",romance,book_1_155
/rock-bottom-tristan-danika-2.html,Rock Bottom (Tristan & Danika #2),"(50,354 view)",romance,book_1_156
/lana.html,Lana,"(38,275 view)",romance,book_1_157
/last-day-of-love-a-teardrop-story-teardrop-0.html,Last Day of Love: A Teardrop Story (Teardrop #0),"(6,014 view)",romance,book_1_158
/the-shop-on-blossom-street-blossom-street-1.html,The Shop on Blossom Street (Blossom Street #1),"(14,600 view)",romance,book_1_159
/a-good-yarn-blossom-street-2.html,A Good Yarn (Blossom Street #2),"(10,892 view)",romance,book_1_160
/susannah-s-garden-blossom-street-3.html,Susannah's Garden (Blossom Street #3),"(9,988 view)",romance,book_1_161
/back-on-blossom-street-blossom-street-4.html,Back on Blossom Street (Blossom Street #4),"(9,894 view)",romance,book_1_162
/twenty-wishes-blossom-street-5.html,Twenty Wishes (Blossom Street #5),"(11,862 view)",romance,book_1_163
/summer-on-blossom-street-blossom-street-6.html,Summer on Blossom Street (Blossom Street #6),"(8,478 view)",romance,book_1_164
/hannah-s-list-blossom-street-7.html,Hannah's List (Blossom Street #7),"(9,946 view)",romance,book_1_165
/a-turn-in-the-road-blossom-street-8.html,A Turn in the Road (Blossom Street #8),"(10,543 view)",romance,book_1_166
/16-lighthouse-road-cedar-cove-1.html,16 Lighthouse Road (Cedar Cove #1),"(13,183 view)",romance,book_1_167
/204-rosewood-lane-cedar-cove-2.html,204 Rosewood Lane (Cedar Cove #2),"(9,988 view)",romance,book_1_168
/311-pelican-court-cedar-cove-3.html,311 Pelican Court (Cedar Cove #3),"(9,809 view)",romance,book_1_169
/44-cranberry-point-cedar-cove-4.html,44 Cranberry Point (Cedar Cove #4),"(7,921 view)",romance,book_1_170
/50-harbor-street-cedar-cove-5.html,50 Harbor Street (Cedar Cove #5),"(7,632 view)",romance,book_1_171
/hearts-divided-cedar-cove-0.html,Hearts Divided (Cedar Cove #0),"(6,888 view)",romance,book_1_172
/6-rainier-drive-cedar-cove-6.html,6 Rainier Drive (Cedar Cove #6),"(8,116 view)",romance,book_1_173
/74-seaside-avenue-cedar-cove-7.html,74 Seaside Avenue (Cedar Cove #7),"(7,745 view)",romance,book_1_174
/8-sandpiper-way-cedar-cove-8.html,8 Sandpiper Way (Cedar Cove #8),"(8,259 view)",romance,book_1_175
/a-cedar-cove-christmas-cedar-cove-0.html,A Cedar Cove Christmas (Cedar Cove #0),"(6,486 view)",romance,book_1_176
/92-pacific-boulevard-cedar-cove-9.html,92 Pacific Boulevard (Cedar Cove #9),"(8,123 view)",romance,book_1_177
/1022-evergreen-place-cedar-cove-10.html,1022 Evergreen Place (Cedar Cove #10),"(8,968 view)",romance,book_1_178
/1105-yakima-street-cedar-cove-11.html,1105 Yakima Street (Cedar Cove #11),"(10,656 view)",romance,book_1_179
/tattered-love-needle-s-kiss-1.html,Tattered Love (Needle's Kiss #1),"(35,614 view)",romance,book_1_180
/conflicted-love-needle-s-kiss-2.html,Conflicted Love (Needle's Kiss #2),"(31,587 view)",romance,book_1_181
/navy-wife-navy-1.html,Navy Wife (Navy #1),"(18,320 view)",romance,book_1_182
/navy-blues-navy-2.html,Navy Blues (Navy #2),"(15,181 view)",romance,book_1_183
/navy-brat-navy-3.html,Navy Brat (Navy #3),"(14,617 view)",romance,book_1_184
/navy-woman-navy-4.html,Navy Woman (Navy #4),"(12,513 view)",romance,book_1_185
/navy-baby-navy-5.html,Navy Baby (Navy #5),"(25,423 view)",romance,book_1_186
/navy-husband-navy-6.html,Navy Husband (Navy #6),"(18,850 view)",romance,book_1_187
/right-next-door.html,Right Next Door,"(25,074 view)",romance,book_1_188
/a-mother-s-wish.html,A Mother's Wish,"(19,072 view)",romance,book_1_189
/an-engagement-in-seattle.html,An Engagement in Seattle,"(27,823 view)",romance,book_1_190
/buffalo-valley.html,Buffalo Valley,"(8,318 view)",romance,book_1_191
/catching-jordan-hundred-oaks-1.html,Catching Jordan (Hundred Oaks #1),"(29,653 view)",romance,book_1_192
/stealing-parker-hundred-oaks-2.html,Stealing Parker (Hundred Oaks #2),"(14,671 view)",romance,book_1_193
/things-i-can-t-forget-hundred-oaks-3.html,Things I Can't Forget (Hundred Oaks #3),"(12,049 view)",romance,book_1_194
/racing-savannah-hundred-oaks-4.html,Racing Savannah (Hundred Oaks #4),"(16,804 view)",romance,book_1_195
/the-forever-of-ella-and-micha-the-secret-2.html,The Forever of Ella and Micha (The Secret #2),"(16,162 view)",romance,book_1_196
