old_id,new_id,old_title,new_title,average_rating,ratings_count,text_reviews_count,author,author_id,image_url,small_image_url,publication_year,percent_positive,percent_negative,percent_neutral,overall_sentiment
4959,31341,Blood And Gold (The Vampire Chronicles #8),"Blood And Gold (The Vampire Chronicles, #8)",3.9,32056,691,Anne Rice,7577,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1168274792l/31341._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1168274792l/31341._SY75_.jpg,2001,0.4,0.5,0.1,0.45
4960,31337,Blackwood Farm (The Vampire Chronicles #9),"Blackwood Farm (The Vampire Chronicles, #9)",3.86,30356,765,Anne Rice,7577,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1504134720l/31337._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1504134720l/31337._SY75_.jpg,2002,0.3,0.5,0.2,0.4
4961,31331,Blood Canticle (The Vampire Chronicles #10),"Blood Canticle (The Vampire Chronicles, #10)",3.72,22163,523,Anne Rice,7577,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567213308l/31331._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567213308l/31331._SY75_.jpg,2003,0.1,0.4,0.5,0.25
4962,60838,Necroscope: Invaders (Necroscope #11),"Necroscope: Invaders (Necroscope, #11)",4.02,1478,26,Brian Lumley,20602,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,0.1,0.7,0.2,0.4
4965,6445700,Vampire a Go-Go,Vampire a Go-Go,3.56,569,74,Victor Gischler,111012,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,0.2,0.2,0.6,0.2
4966,17706590,The Graves of Saints (Shadow Saga #6),The Graves of Saints (Shadow Saga #6),4.17,104,5,Christopher Golden,4522,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364793045l/17706590._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364793045l/17706590._SY75_.jpg,2013,0.1,0.4,0.5,0.25
4967,48423,Stones Unturned (The Menagerie #3),"Stones Unturned (The Menagerie, #3)",4.04,179,7,Christopher Golden,4522,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,0.5,0.2,0.3,0.35
4968,837910,Ghosts of Albion: Accursed (Ghosts of Albion #1),"Accursed  (Ghosts of Albion, #1)",3.43,309,42,Amber Benson,27209,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320468464l/837910._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320468464l/837910._SY75_.jpg,2005,0.2,0.2,0.6,0.2
4969,6649288,Witchery: A Ghosts of Albion Novel (Ghosts of Albion #2),Witchery: A Ghosts of Albion Novel (Ghosts of Albion),4.05,152,10,Amber Benson,27209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,0.4,0.6,0,0.5
4971,98955,The Helmet of Horror,The Helmet of Horror: The Myth of Theseus and the Minotaur,3.43,2739,191,Victor Pelevin,4594585,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328849790l/98955._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328849790l/98955._SY75_.jpg,2005,0.3,0.6,0.1,0.45
4972,3212912,The Sacred Book of the Werewolf,The Sacred Book of the Werewolf,3.81,4375,328,Victor Pelevin,4594585,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,0.4,0.1,0.5,0.25
4974,6591459,Deadtown (Deadtown #1),"Deadtown (Deadtown, #1)",3.53,4025,315,Nancy Holzner,2184228,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,0.3,0.3,0.4,0.3
4975,8202714,Hellforged (Deadtown #2),"Hellforged (Deadtown, #2)",3.83,1497,101,Nancy Holzner,2184228,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311703478l/8202714._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311703478l/8202714._SY75_.jpg,2010,0.4,0.3,0.3,0.35
4976,10573557,Bloodstone (Deadtown #3),"Bloodstone (Deadtown, #3)",3.92,1038,73,Nancy Holzner,2184228,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469732454l/10573557._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469732454l/10573557._SY75_.jpg,2011,0.4,0.1,0.5,0.25
4977,13056723,Darklands (Deadtown #4),"Darklands (Deadtown, #4)",3.9,745,56,Nancy Holzner,2184228,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333837102l/13056723._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333837102l/13056723._SY75_.jpg,2012,0.1,0.5,0.4,0.3
4978,15808562,Hellhound (Deadtown #5),"Hellhound (Deadtown, #5)",3.95,459,35,Nancy Holzner,2184228,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368161809l/15808562._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368161809l/15808562._SY75_.jpg,2013,0.1,0.2,0.7,0.15
4979,7305065,The Tale Of The Vampire Bride (Vampire Bride #1),"The Tale Of The Vampire Bride (Vampire Bride, #1)",4.05,1018,154,Rhiannon Frater,2310121,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345449171l/7305065._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345449171l/7305065._SX50_.jpg,2009,0.1,0.5,0.4,0.3
4980,11554317,The Vengeance of the Vampire Bride (Vampire Bride #2),"The Vengeance of the Vampire Bride (Vampire Bride, #2)",4.38,420,44,Rhiannon Frater,2310121,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345449235l/11554317._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345449235l/11554317._SX50_.jpg,2011,0.5,0.3,0.2,0.4
4981,5966254,Pretty When She Dies (Pretty When She Dies #1),"Pretty When She Dies (Pretty When She Dies, #1)",3.83,1704,255,Rhiannon Frater,2310121,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521569118l/5966254._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521569118l/5966254._SY75_.jpg,2008,0.3,0.2,0.5,0.25
4982,13139589,Pretty When She Kills (Pretty When She Dies #2),"Pretty When She Kills (Pretty When She Dies, #2)",4.01,592,79,Rhiannon Frater,2310121,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521569214l/13139589._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521569214l/13139589._SY75_.jpg,2012,0.6,0.4,0,0.5
4983,12905583,Nightshifted (Edie Spence #1),"Nightshifted (Edie Spence, #1)",3.42,3734,555,Cassie Alexander,4517253,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328198943l/12905583._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328198943l/12905583._SY75_.jpg,2012,0.4,0.6,0,0.5
4984,13539457,Moonshifted (Edie Spence #2),"Moonshifted (Edie Spence, #2)",3.79,1856,193,Cassie Alexander,4517253,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334629255l/13539457._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334629255l/13539457._SY75_.jpg,2012,0.1,0.8,0.1,0.45
4985,15831550,Shapeshifted (Edie Spence #3),"Shapeshifted (Edie Spence, #3)",3.87,1212,118,Cassie Alexander,4517253,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346444037l/15831550._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346444037l/15831550._SY75_.jpg,2012,0.4,0.3,0.3,0.35
4986,17376132,Deadshifted (Edie Spence #4),"Deadshifted (Edie Spence, #4)",3.77,810,91,Cassie Alexander,4517253,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364916191l/17376132._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364916191l/17376132._SY75_.jpg,2013,0.1,0.9,0,0.5
4987,6726099,Running with the Pack,Running with the Pack,3.29,431,67,Ekaterina Sedia,668710,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1267497529l/6726099._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1267497529l/6726099._SY75_.jpg,2010,0.1,0.3,0.6,0.2
4988,1029770,The Night Watch (Watch #1),"The Night Watch (Watch, #1)",3.98,39604,2187,Sergei Lukyanenko,32637,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327928296l/1029770._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327928296l/1029770._SY75_.jpg,1998,0.4,0.1,0.5,0.25
4989,104160,Day Watch (Watch #2),Day Watch (Watch #2),4.06,20351,691,Sergei Lukyanenko,32637,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,0.1,0.5,0.4,0.3
4990,2192092,The Last Watch (Watch #4),The Last Watch (Watch #4),4.12,12988,431,Sergei Lukyanenko,32637,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,0.4,0.2,0.4,0.3
4991,536520,The Myth Hunters (The Veil #1),"The Myth Hunters (The Veil, #1)",3.77,795,87,Christopher Golden,4522,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,0.2,0.8,0,0.5
4992,48420,The Borderkind (The Veil #2),"The Borderkind (The Veil, #2)",3.92,453,37,Christopher Golden,4522,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,0.3,0.1,0.6,0.2
4993,1598068,The Lost Ones (The Veil #3),"The Lost Ones (The Veil, #3)",3.97,350,35,Christopher Golden,4522,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,0.3,0.1,0.6,0.2
4994,1178174,Strangewood,Strangewood,3.84,311,32,Christopher Golden,4522,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309204309l/1178174._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309204309l/1178174._SY75_.jpg,1999,0.4,0.2,0.4,0.3
4995,2942911,Hellboy: Oddest Jobs (Hellboy: Odd Jobs #3),Hellboy: Oddest Jobs,4.09,431,23,Christopher Golden,4522,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403200353l/2942911._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403200353l/2942911._SY75_.jpg,2008,0.6,0.2,0.2,0.4
4996,289233,Hellboy: The Dragon Pool,Hellboy: The Dragon Pool,4.23,544,14,Christopher Golden,4522,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,0.5,0.3,0.2,0.4
4997,30281,"Guilty Pleasures (Anita Blake, Vampire Hunter #1)","Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",4.02,133171,5658,Laurell K. Hamilton,9550,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1993,0.3,0.6,0.1,0.45
4998,15309,"The Laughing Corpse (Anita Blake, Vampire Hunter #2)","The Laughing Corpse (Anita Blake, Vampire Hunter, #2)",4.12,78514,2103,Laurell K. Hamilton,9550,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,0.2,0.3,0.5,0.25
4999,30274,"Circus of the Damned (Anita Blake, Vampire Hunter #3)","Circus of the Damned (Anita Blake, Vampire Hunter, #3)",4.16,88114,1670,Laurell K. Hamilton,9550,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1995,0.6,0.2,0.2,0.4
5000,30273,"The Lunatic Cafe (Anita Blake, Vampire Hunter #4)","The Lunatic Cafe (Anita Blake, Vampire Hunter #4)",4.12,72797,1420,Laurell K. Hamilton,9550,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1996,0.1,0.8,0.1,0.45
5001,30241,"Bloody Bones (Anita Blake, Vampire Hunter #5)","Bloody Bones (Anita Blake, Vampire Hunter #5)",4.11,68944,1313,Laurell K. Hamilton,9550,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1304126691l/30241._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1304126691l/30241._SY75_.jpg,1996,0.1,0.5,0.4,0.3
5002,30244,"The Killing Dance (Anita Blake, Vampire Hunter #6)","The Killing Dance (Anita Blake, Vampire Hunter, #6)",4.13,67570,1359,Laurell K. Hamilton,9550,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1997,0.1,0.5,0.4,0.3
5003,30242,"Burnt Offerings (Anita Blake, Vampire Hunter #7)","Burnt Offerings (Anita Blake, Vampire Hunter, #7)",4.08,64675,1094,Laurell K. Hamilton,9550,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1289528358l/30242._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1289528358l/30242._SY75_.jpg,1998,0.2,0.4,0.4,0.3
5004,30246,"Blue Moon (Anita Blake, Vampire Hunter #8)","Blue Moon (Anita Blake, Vampire Hunter, #8)",4.05,61059,1061,Laurell K. Hamilton,9550,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,0.6,0.3,0.1,0.45
5005,190361,"Obsidian Butterfly (Anita Blake, Vampire Hunter #9)","Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)",4.09,60061,1516,Laurell K. Hamilton,9550,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327139907l/190361._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327139907l/190361._SY75_.jpg,2000,0.4,0.6,0,0.5
5006,30248,"Narcissus in Chains (Anita Blake, Vampire Hunter #10)","Narcissus in Chains (Anita Blake, Vampire Hunter, #10)",3.9,55135,1251,Laurell K. Hamilton,9550,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386179578l/30248._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386179578l/30248._SY75_.jpg,2001,0.1,0.1,0.8,0.1
5007,30245,"Cerulean Sins (Anita Blake, Vampire Hunter #11)","Cerulean Sins (Anita Blake, Vampire Hunter, #11)",3.85,48239,887,Laurell K. Hamilton,9550,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396595697l/30245._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396595697l/30245._SY75_.jpg,2003,0.2,0.2,0.6,0.2
5008,30228,"Micah (Anita Blake, Vampire Hunter #13)","Micah (Anita Blake, Vampire Hunter, #13)",3.64,42855,997,Laurell K. Hamilton,9550,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,0.3,0.7,0,0.5
5009,121927,"Danse Macabre (Anita Blake, Vampire Hunter #14)","Danse Macabre (Anita Blake, Vampire Hunter, #14)",3.82,43595,919,Laurell K. Hamilton,9550,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1289499526l/121927._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1289499526l/121927._SY75_.jpg,2006,0.2,0.5,0.3,0.35
5010,30225,"The Harlequin (Anita Blake, Vampire Hunter #15)","The Harlequin (Anita Blake, Vampire Hunter #15)",3.92,42167,961,Laurell K. Hamilton,9550,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1257988532l/30225._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1257988532l/30225._SY75_.jpg,2007,0.1,0.4,0.5,0.25
5011,2149535,"Blood Noir (Anita Blake, Vampire Hunter #16)","Blood Noir (Anita Blake, Vampire Hunter #16)",3.86,38339,1068,Laurell K. Hamilton,9550,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310494632l/2149535._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310494632l/2149535._SY75_.jpg,2008,0.4,0.4,0.2,0.4
5012,5215879,"Skin Trade (Anita Blake, Vampire Hunter #17)","Skin Trade (Anita Blake, Vampire Hunter #17)",3.92,35529,1231,Laurell K. Hamilton,9550,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310494564l/5215879._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310494564l/5215879._SY75_.jpg,2009,0.3,0.1,0.6,0.2
5013,6726595,"Flirt (Anita Blake, Vampire Hunter #18)","Flirt (Anita Blake, Vampire Hunter #18)",3.73,32253,1201,Laurell K. Hamilton,9550,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310494369l/6726595._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310494369l/6726595._SY75_.jpg,2009,0.1,0.3,0.6,0.2
